Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      509     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::end() const
  0.00      0.00     0.00      508     0.00     0.00  std::move_iterator<std::complex<double>*>::move_iterator(std::complex<double>*)
  0.00      0.00     0.00      508     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&)
  0.00      0.00     0.00      508     0.00     0.00  std::move_iterator<std::complex<double>*> std::__make_move_if_noexcept_iterator<std::complex<double>, std::move_iterator<std::complex<double>*> >(std::complex<double>*)
  0.00      0.00     0.00      508     0.00     0.00  std::remove_reference<std::complex<double>*&>::type&& std::move<std::complex<double>*&>(std::complex<double>*&)
  0.00      0.00     0.00      381     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::difference_type __gnu_cxx::operator-<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > > const&)
  0.00      0.00     0.00      255     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      255     0.00     0.00  std::complex<double>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*>(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*)
  0.00      0.00     0.00      255     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::end()
  0.00      0.00     0.00      255     0.00     0.00  std::complex<double>* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*>(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*)
  0.00      0.00     0.00      255     0.00     0.00  std::complex<double>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*>(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*)
  0.00      0.00     0.00      255     0.00     0.00  std::complex<double>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*, std::complex<double> >(__gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, __gnu_cxx::__normal_iterator<std::complex<double> const*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00      0.00     0.00      254     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > > add_vector<std::complex<double> >(std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&, std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&)
  0.00      0.00     0.00      254     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > > mult_vector<std::complex<double> >(std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&, std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&)
  0.00      0.00     0.00      254     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > > slice_vector<std::complex<double> >(std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&, int, int)
  0.00      0.00     0.00      254     0.00     0.00  __gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >::operator+(long) const
  0.00      0.00     0.00      254     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::max_size() const
  0.00      0.00     0.00      254     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_base(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00      254     0.00     0.00  std::complex<double>* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::complex<double>*>, std::complex<double>*>(std::move_iterator<std::complex<double>*>, std::move_iterator<std::complex<double>*>, std::complex<double>*)
